timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,20,1054,year,Great Schism formalized,The breach between the churches of Rome and Constantinople deepened the division between East and West.,5,Rome and Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,21,1071,year,Battle of Manzikert,A major defeat to the Seljuks accelerated Byzantine losses in Anatolia.,5,Manzikert,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,22,1081,year,Alexios I begins Komnenian restoration,Alexios I came to power and stabilized the empire after military crisis.,4,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,23,1095,year,First Crusade launched,Byzantine appeals for aid helped trigger the First Crusade.,4,Clermont,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,24,1204,year,Fourth Crusade sacks Constantinople,Crusaders captured Constantinople and shattered Byzantine imperial unity.,5,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,25,1261,year,Byzantines recover Constantinople,Michael VIII Palaiologos restored Byzantine rule in the capital.,5,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,26,1341,year,Civil war begins,A destructive civil war weakened the late empire.,4,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,27,1354,year,Ottomans seize Gallipoli,The Ottoman foothold in Europe intensified pressure on Byzantium.,4,Gallipoli,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,28,1439,year,Council of Florence attempts church union,Byzantine leaders sought western aid through ecclesiastical union.,3,Florence,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the Byzantine Empire,byzantine-empire,"Major political, military, and cultural milestones in the history of the Byzantine Empire.",history,29,1453-05-29,day,Fall of Constantinople,"Ottoman forces captured Constantinople, ending the Byzantine Empire.",5,Constantinople,,Encyclopaedia Britannica,https://www.britannica.com/place/Byzantine-Empire,0.95,empire;byzantium;rome
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,1,1945,year,Vannevar Bush imagines Memex,Bush described a hypertext-like information system that later influenced web thinking.,3,United States,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,2,1965,year,Ted Nelson coins hypertext,The idea of linked digital text gained a lasting name and conceptual framework.,4,United States,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,3,1968,year,Mother of All Demos presented,Douglas Engelbart demonstrated interactive computing concepts relevant to future web use.,4,San Francisco,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,4,1980,year,ENQUIRE built at CERN,"Tim Berners-Lee created ENQUIRE, an early linked-information system.",4,CERN,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,5,1984,year,Berners-Lee returns to CERN,His return to CERN set the stage for the web's invention.,3,CERN,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,6,1989-03,month,Berners-Lee proposes the web,A proposal for a distributed hypertext system outlined the basis of the World Wide Web.,5,CERN,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,7,1990,year,Robert Cailliau joins the project,Cailliau helped develop and promote the web at CERN.,4,CERN,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,8,1990-10,month,"HTTP, HTML, and URLs take shape",Core standards for the web were formulated during development at CERN.,5,CERN,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,9,1990-12,month,First website and browser-server system created,The first website and the first web software were running by the end of 1990.,5,CERN,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,10,1991-08,month,Web opened to external users,The World Wide Web became available beyond CERN to outside institutions.,5,Global,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,11,1993-04-30,day,CERN places web technology in the public domain,CERN's decision allowed the web to spread freely and rapidly.,5,CERN,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,12,1993,year,Mosaic browser released,Mosaic greatly broadened the web's public appeal and usability.,5,United States,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,13,1994,year,World Wide Web Consortium founded,The W3C was created to develop open web standards.,5,MIT,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,14,1994,year,Netscape founded,Commercial browser competition accelerated web adoption.,4,California,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,15,1995,year,JavaScript introduced,Client-side scripting changed the capabilities of web pages.,4,United States,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,16,1998,year,Google founded,Web search became a defining part of the web experience.,4,California,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,17,2001,year,Wikipedia launched,Collaborative publishing became one of the web's most influential models.,4,Global,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,18,2004,year,Web 2.0 era takes hold,"Interactive, user-generated web platforms spread rapidly.",4,Global,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,19,2007,year,iPhone released,Smartphone browsing transformed how people accessed the web.,4,United States,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,20,2014,year,HTML5 finalized,A major modern web standard was completed.,4,Global,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the World Wide Web,world-wide-web,"Major milestones in the invention, standardization, commercialization, and global growth of the World Wide Web.",technology,21,2022,year,HTTPS becomes dominant on major web traffic,Encrypted web browsing became the normal baseline for most users.,3,Global,,CERN,https://home.cern/science/computing/birth-web,0.97,technology;web;internet
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,1,1697,year,France gains Saint-Domingue,The Treaty of Ryswick confirmed French control of the western part of Hispaniola.,3,Saint-Domingue,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,2,1758,year,Mackandal executed,The execution of François Mackandal became part of the colony's resistance memory.,2,Saint-Domingue,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,3,1789,year,French Revolution begins,Events in France destabilized colonial politics in Saint-Domingue.,4,France,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,4,1790,year,Vincent Ogé revolt suppressed,Ogé's failed uprising exposed tensions over rights and race in the colony.,3,Saint-Domingue,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,5,1791-08,month,Slave uprising begins in the north,A massive slave revolt opened the Haitian Revolution.,5,Northern Saint-Domingue,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,6,1792,year,France grants civil rights to free people of color,Revolutionary legislation reshaped political alignments in the colony.,4,Paris,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,7,1793,year,French commissioners proclaim emancipation locally,Colonial commissioners abolished slavery in Saint-Domingue before metropolitan confirmation.,5,Saint-Domingue,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,8,1794,year,French National Convention abolishes slavery,"France extended abolition across its colonies, transforming the conflict.",5,Paris,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,9,1794,year,Toussaint Louverture joins French side,Louverture aligned with the French Republic after emancipation.,5,Saint-Domingue,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,10,1795,year,Spain cedes Santo Domingo to France,The Treaty of Basel altered the regional strategic balance.,3,Santo Domingo,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,11,1798,year,British evacuation completed,British forces withdrew after failing to defeat the revolutionary forces.,4,Saint-Domingue,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,12,1801,year,Louverture promulgates constitution,Toussaint Louverture issued a constitution asserting broad autonomy for the colony.,5,Cap-Français,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,13,1802,year,Leclerc expedition arrives,Napoleon sent a major French force to restore control.,5,Saint-Domingue,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,14,1802,year,Toussaint Louverture captured,Louverture was seized and deported to France.,5,Saint-Domingue,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,15,1803-11-18,day,Battle of Vertières,Revolutionary forces won the decisive battle against the French.,5,Vertières,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,16,1804-01-01,day,Haiti declares independence,Jean-Jacques Dessalines proclaimed the independence of Haiti.,5,Gonaïves,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,17,1804,year,Dessalines crowned emperor,Dessalines established the Empire of Haiti as Jacques I.,3,Haiti,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,18,1806,year,Dessalines assassinated,His death led to political division within Haiti.,4,Pont-Rouge,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,19,1807,year,Haiti divided into northern and southern states,Henri Christophe and Alexandre Pétion led rival regimes.,4,Haiti,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,20,1811,year,Christophe becomes King Henry I,The northern state became the Kingdom of Haiti.,3,Cap-Haïtien,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,21,1820,year,Christophe dies and reunification begins,The northern monarchy collapsed and Haiti moved toward reunification.,4,Cap-Haïtien,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Haitian Revolution,haitian-revolution,Major political and military milestones in the Haitian Revolution and the creation of Haiti.,history,22,1825,year,France recognizes Haiti with indemnity demands,Recognition came at the price of a heavy indemnity that burdened the new state.,5,Paris,,Encyclopaedia Britannica,https://www.britannica.com/event/Haitian-Revolution,0.95,revolution;haiti;slavery
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,1,747,year,Abbasid Revolution begins in Khurasan,The movement against Umayyad rule gathered strength under Abu Muslim.,5,Khurasan,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,2,750,year,Battle of the Zab,Abbasid forces defeated the Umayyads in the decisive battle of the revolution.,5,Iraq,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,3,750,year,Abu al-Abbas al-Saffah becomes caliph,The first Abbasid caliph established the new dynasty.,5,Kufa,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,4,754,year,Al-Mansur becomes caliph,Al-Mansur consolidated Abbasid power after al-Saffah's death.,4,Iraq,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,5,762,year,Baghdad founded,Al-Mansur founded Baghdad as the Abbasid capital.,5,Baghdad,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,6,786,year,Harun al-Rashid begins reign,His reign became emblematic of Abbasid political power and court culture.,5,Baghdad,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,7,800,year,Aghlabids established in Ifriqiya,Provincial autonomy increased under Abbasid suzerainty.,3,Ifriqiya,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,8,809,year,Harun al-Rashid dies,A succession struggle followed the death of one of the dynasty's most famous rulers.,4,Tus,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,9,813,year,Al-Ma'mun becomes caliph,Civil war ended with al-Ma'mun's victory and a new phase of Abbasid rule.,4,Baghdad,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,10,832,year,House of Wisdom flourishes under al-Ma'mun,The Abbasid court became a major center of translation and scholarship.,4,Baghdad,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,11,833,year,Al-Mu'tasim becomes caliph,Military and political changes strengthened the role of Turkish troops.,4,Baghdad,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,12,836,year,Samarra becomes capital,The caliphal court moved from Baghdad to Samarra.,4,Samarra,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,13,861,year,Al-Mutawakkil assassinated,The assassination marked the start of severe political instability at the Abbasid court.,5,Samarra,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,14,870,year,Zanj Rebellion begins,A major revolt challenged Abbasid authority in southern Iraq.,5,Basra region,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,15,892,year,Capital returns to Baghdad,The caliphal court moved back to Baghdad.,3,Baghdad,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,16,909,year,Fatimid Caliphate founded,"A rival caliphate emerged in North Africa, challenging Abbasid prestige.",4,Ifriqiya,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
Timeline of the Abbasid Caliphate,abbasid-caliphate,"Major political, military, and cultural milestones in the history of the Abbasid Caliphate.",history,17,945,year,Buyids seize Baghdad,The Abbasid caliphs fell under Buyid domination.,5,Baghdad,,Encyclopaedia Britannica,https://www.britannica.com/topic/Abbasid-dynasty,0.95,caliphate;islam;empire
