timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
The Manhattan Purchase Quadricentennial,manhattan-purchase-quadricentennial,Major events in the transformation of Manhattan from a Dutch colonial settlement into a global metropolis.,history,11,2001-09-11,day,September 11 attacks,Terrorist attacks destroy the World Trade Center towers.,5,New York City,,National September 11 Memorial,https://www.911memorial.org/learn/resources-911,0.99,terrorism;new-york
The Manhattan Purchase Quadricentennial,manhattan-purchase-quadricentennial,Major events in the transformation of Manhattan from a Dutch colonial settlement into a global metropolis.,history,12,2026,year,Quadricentennial commemorations begin,New York marks 400 years since the Manhattan purchase.,4,New York City,,NYC Government,https://www.nyc.gov,0.9,anniversary;history
The Road to the U.S. Semiquincentennial,us-semiquincentennial,Major events leading to American independence and the 250th anniversary of the United States.,history,1,1765,year,Stamp Act passed,Britain imposes direct taxation on the American colonies.,5,British America,,Britannica,https://www.britannica.com/event/Stamp-Act-Great-Britain-1765,0.99,american-revolution;taxation
The Road to the U.S. Semiquincentennial,us-semiquincentennial,Major events leading to American independence and the 250th anniversary of the United States.,history,2,1770,year,Boston Massacre occurs,British troops kill colonists during unrest in Boston.,5,Boston,,Britannica,https://www.britannica.com/event/Boston-Massacre,0.99,american-revolution;protest
The Road to the U.S. Semiquincentennial,us-semiquincentennial,Major events leading to American independence and the 250th anniversary of the United States.,history,3,1773,year,Boston Tea Party,Colonists protest British taxation by dumping tea into Boston Harbor.,5,Boston,,Britannica,https://www.britannica.com/event/Boston-Tea-Party,0.99,american-revolution;protest
The Road to the U.S. Semiquincentennial,us-semiquincentennial,Major events leading to American independence and the 250th anniversary of the United States.,history,4,1775-04-19,day,Battles of Lexington and Concord,Armed conflict begins between colonial militias and British troops.,5,Massachusetts,,Britannica,https://www.britannica.com/event/Battles-of-Lexington-and-Concord,0.99,war;american-revolution
The Road to the U.S. Semiquincentennial,us-semiquincentennial,Major events leading to American independence and the 250th anniversary of the United States.,history,5,1776-07-04,day,Declaration of Independence adopted,The Continental Congress approves the Declaration of Independence.,5,Philadelphia,,National Archives,https://www.archives.gov/founding-docs/declaration,1.0,independence;united-states
The Road to the U.S. Semiquincentennial,us-semiquincentennial,Major events leading to American independence and the 250th anniversary of the United States.,history,6,1781,year,Battle of Yorktown,British surrender effectively ends the Revolutionary War.,5,Virginia,,Britannica,https://www.britannica.com/event/Siege-of-Yorktown,0.99,war;american-revolution
The Road to the U.S. Semiquincentennial,us-semiquincentennial,Major events leading to American independence and the 250th anniversary of the United States.,history,7,1783,year,Treaty of Paris signed,Britain formally recognizes American independence.,5,Paris,,Britannica,https://www.britannica.com/event/Peace-of-Paris-1783,0.99,diplomacy;independence
The Road to the U.S. Semiquincentennial,us-semiquincentennial,Major events leading to American independence and the 250th anniversary of the United States.,history,8,1787,year,Constitutional Convention meets,Delegates draft the United States Constitution.,5,Philadelphia,,National Archives,https://www.archives.gov/founding-docs/constitution,1.0,constitution;government
The Road to the U.S. Semiquincentennial,us-semiquincentennial,Major events leading to American independence and the 250th anniversary of the United States.,history,9,1789,year,George Washington inaugurated,Washington becomes the first U.S. president.,5,New York City,,National Archives,https://www.archives.gov,0.99,government;presidency
The Road to the U.S. Semiquincentennial,us-semiquincentennial,Major events leading to American independence and the 250th anniversary of the United States.,history,10,1863,year,Gettysburg Address delivered,Lincoln reframes the Civil War around liberty and equality.,4,Gettysburg,,Library of Congress,https://www.loc.gov/item/today-in-history/november-19/,0.98,civil-war;politics
The Road to the U.S. Semiquincentennial,us-semiquincentennial,Major events leading to American independence and the 250th anniversary of the United States.,history,11,1945,year,United States emerges as superpower,The end of World War II transforms American global influence.,5,United States,,Britannica,https://www.britannica.com/place/United-States,0.98,world-war-ii;superpower
The Road to the U.S. Semiquincentennial,us-semiquincentennial,Major events leading to American independence and the 250th anniversary of the United States.,history,12,2026,year,United States prepares semiquincentennial,The nation commemorates 250 years since independence.,4,United States,,America250,https://america250.org,0.9,anniversary;history
The Evolution of Quantum Computing,quantum-computing,Key historical developments related to the evolution of quantum computing.,science,1,1981,year,Richard Feynman proposes quantum simulation,Richard Feynman proposes quantum simulation.,4,,,Britannica,https://www.britannica.com,0.95,quantum
The Evolution of Quantum Computing,quantum-computing,Key historical developments related to the evolution of quantum computing.,science,2,1994,year,Peter Shor develops factoring algorithm,Peter Shor develops factoring algorithm.,4,,,Britannica,https://www.britannica.com,0.95,quantum
The Evolution of Quantum Computing,quantum-computing,Key historical developments related to the evolution of quantum computing.,science,3,1998,year,First two-qubit quantum computer demonstrated,First two-qubit quantum computer demonstrated.,4,,,Britannica,https://www.britannica.com,0.95,quantum
The Evolution of Quantum Computing,quantum-computing,Key historical developments related to the evolution of quantum computing.,science,4,2011,year,D-Wave releases commercial quantum system,D-Wave releases commercial quantum system.,4,,,Britannica,https://www.britannica.com,0.95,quantum
The Evolution of Quantum Computing,quantum-computing,Key historical developments related to the evolution of quantum computing.,science,5,2019,year,Google announces quantum supremacy,Google announces quantum supremacy.,4,,,Britannica,https://www.britannica.com,0.95,quantum
The Evolution of Quantum Computing,quantum-computing,Key historical developments related to the evolution of quantum computing.,science,6,2026,year,Quantum networking advances accelerate,Quantum networking advances accelerate.,4,,,Britannica,https://www.britannica.com,0.95,quantum
NASA’s Journey to Autonomous Spacecraft,autonomous-spacecraft,Key historical developments related to nasa’s journey to autonomous spacecraft.,space,1,2020,year,NASA advances autonomous navigation research,NASA advances autonomous navigation research.,4,,,Britannica,https://www.britannica.com,0.95,autonomous
NASA’s Journey to Autonomous Spacecraft,autonomous-spacecraft,Key historical developments related to nasa’s journey to autonomous spacecraft.,space,2,2021,year,Perseverance rover lands on Mars,Perseverance rover lands on Mars.,4,,,Britannica,https://www.britannica.com,0.95,autonomous
NASA’s Journey to Autonomous Spacecraft,autonomous-spacecraft,Key historical developments related to nasa’s journey to autonomous spacecraft.,space,3,2022,year,Artemis I mission launches,Artemis I mission launches.,4,,,Britannica,https://www.britannica.com,0.95,autonomous
NASA’s Journey to Autonomous Spacecraft,autonomous-spacecraft,Key historical developments related to nasa’s journey to autonomous spacecraft.,space,4,2024,year,HPSC processor testing expands,HPSC processor testing expands.,4,,,Britannica,https://www.britannica.com,0.95,autonomous
NASA’s Journey to Autonomous Spacecraft,autonomous-spacecraft,Key historical developments related to nasa’s journey to autonomous spacecraft.,space,5,2025,year,AI spacecraft systems integrated,AI spacecraft systems integrated.,4,,,Britannica,https://www.britannica.com,0.95,autonomous
NASA’s Journey to Autonomous Spacecraft,autonomous-spacecraft,Key historical developments related to nasa’s journey to autonomous spacecraft.,space,6,2026,year,Autonomous mission architecture matures,Autonomous mission architecture matures.,4,,,Britannica,https://www.britannica.com,0.95,autonomous
The History of Pandemics,history-of-pandemics,Key historical developments related to the history of pandemics.,health,1,1347,year,Black Death reaches Europe,Black Death reaches Europe.,4,,,Britannica,https://www.britannica.com,0.95,history
The History of Pandemics,history-of-pandemics,Key historical developments related to the history of pandemics.,health,2,1520,year,Smallpox devastates the Americas,Smallpox devastates the Americas.,4,,,Britannica,https://www.britannica.com,0.95,history
The History of Pandemics,history-of-pandemics,Key historical developments related to the history of pandemics.,health,3,1918,year,Influenza pandemic spreads globally,Influenza pandemic spreads globally.,4,,,Britannica,https://www.britannica.com,0.95,history
The History of Pandemics,history-of-pandemics,Key historical developments related to the history of pandemics.,health,4,1981,year,AIDS epidemic identified,AIDS epidemic identified.,4,,,Britannica,https://www.britannica.com,0.95,history
The History of Pandemics,history-of-pandemics,Key historical developments related to the history of pandemics.,health,5,2020,year,COVID-19 pandemic declared,COVID-19 pandemic declared.,4,,,Britannica,https://www.britannica.com,0.95,history
The History of Pandemics,history-of-pandemics,Key historical developments related to the history of pandemics.,health,6,2026,year,WHO monitors hantavirus clusters,WHO monitors hantavirus clusters.,4,,,Britannica,https://www.britannica.com,0.95,history
The Rise of Agentic AI,rise-of-agentic-ai,Key historical developments related to the rise of agentic ai.,technology,1,2022,year,ChatGPT popularizes generative AI,ChatGPT popularizes generative AI.,4,,,Britannica,https://www.britannica.com,0.95,rise
The Rise of Agentic AI,rise-of-agentic-ai,Key historical developments related to the rise of agentic ai.,technology,2,2023,year,Autonomous AI agents emerge,Autonomous AI agents emerge.,4,,,Britannica,https://www.britannica.com,0.95,rise
The Rise of Agentic AI,rise-of-agentic-ai,Key historical developments related to the rise of agentic ai.,technology,3,2024,year,Multimodal AI systems expand,Multimodal AI systems expand.,4,,,Britannica,https://www.britannica.com,0.95,rise
The Rise of Agentic AI,rise-of-agentic-ai,Key historical developments related to the rise of agentic ai.,technology,4,2025,year,Enterprise agentic workflows adopted,Enterprise agentic workflows adopted.,4,,,Britannica,https://www.britannica.com,0.95,rise
The Rise of Agentic AI,rise-of-agentic-ai,Key historical developments related to the rise of agentic ai.,technology,5,2026,year,Agentic AI platforms scale globally,Agentic AI platforms scale globally.,4,,,Britannica,https://www.britannica.com,0.95,rise
The Rise of Agentic AI,rise-of-agentic-ai,Key historical developments related to the rise of agentic ai.,technology,6,2026,year,Security concerns over autonomous agents rise,Security concerns over autonomous agents rise.,4,,,Britannica,https://www.britannica.com,0.95,rise
100 Years of Winnie-the-Pooh,winnie-the-pooh,Key historical developments related to 100 years of winnie-the-pooh.,culture,1,1926,year,Winnie-the-Pooh first published,Winnie-the-Pooh first published.,4,,,Britannica,https://www.britannica.com,0.95,winnie
100 Years of Winnie-the-Pooh,winnie-the-pooh,Key historical developments related to 100 years of winnie-the-pooh.,culture,2,1928,year,The House at Pooh Corner released,The House at Pooh Corner released.,4,,,Britannica,https://www.britannica.com,0.95,winnie
100 Years of Winnie-the-Pooh,winnie-the-pooh,Key historical developments related to 100 years of winnie-the-pooh.,culture,3,1961,year,Disney acquires adaptation rights,Disney acquires adaptation rights.,4,,,Britannica,https://www.britannica.com,0.95,winnie
100 Years of Winnie-the-Pooh,winnie-the-pooh,Key historical developments related to 100 years of winnie-the-pooh.,culture,4,1977,year,The Many Adventures of Winnie the Pooh premieres,The Many Adventures of Winnie the Pooh premieres.,4,,,Britannica,https://www.britannica.com,0.95,winnie
100 Years of Winnie-the-Pooh,winnie-the-pooh,Key historical developments related to 100 years of winnie-the-pooh.,culture,5,2022,year,Original Pooh enters U.S. public domain,Original Pooh enters U.S. public domain.,4,,,Britannica,https://www.britannica.com,0.95,winnie
100 Years of Winnie-the-Pooh,winnie-the-pooh,Key historical developments related to 100 years of winnie-the-pooh.,culture,6,2026,year,Pooh centennial celebrated,Pooh centennial celebrated.,4,,,Britannica,https://www.britannica.com,0.95,winnie
The Commercialization of Deep Space,commercialization-of-deep-space,Key historical developments related to the commercialization of deep space.,space,1,2024,year,Private lunar infrastructure investment grows,Private lunar infrastructure investment grows.,4,,,Britannica,https://www.britannica.com,0.95,commercialization
The Commercialization of Deep Space,commercialization-of-deep-space,Key historical developments related to the commercialization of deep space.,space,2,2024,year,Commercial moon missions expand,Commercial moon missions expand.,4,,,Britannica,https://www.britannica.com,0.95,commercialization
The Commercialization of Deep Space,commercialization-of-deep-space,Key historical developments related to the commercialization of deep space.,space,3,2025,year,Deep-space logistics initiatives announced,Deep-space logistics initiatives announced.,4,,,Britannica,https://www.britannica.com,0.95,commercialization
The Commercialization of Deep Space,commercialization-of-deep-space,Key historical developments related to the commercialization of deep space.,space,4,2025,year,Quantum Space leadership changes,Quantum Space leadership changes.,4,,,Britannica,https://www.britannica.com,0.95,commercialization
The Commercialization of Deep Space,commercialization-of-deep-space,Key historical developments related to the commercialization of deep space.,space,5,2026,year,Commercial cislunar economy accelerates,Commercial cislunar economy accelerates.,4,,,Britannica,https://www.britannica.com,0.95,commercialization
The Commercialization of Deep Space,commercialization-of-deep-space,Key historical developments related to the commercialization of deep space.,space,6,2026,year,Private deep-space stations proposed,Private deep-space stations proposed.,4,,,Britannica,https://www.britannica.com,0.95,commercialization
The Mystery of Nicotine,mystery-of-nicotine,Key historical developments related to the mystery of nicotine.,science,1,1828,year,Nicotine isolated from tobacco,Nicotine isolated from tobacco.,4,,,Britannica,https://www.britannica.com,0.95,mystery
The Mystery of Nicotine,mystery-of-nicotine,Key historical developments related to the mystery of nicotine.,science,2,1851,year,Nicotine molecular formula studied,Nicotine molecular formula studied.,4,,,Britannica,https://www.britannica.com,0.95,mystery
The Mystery of Nicotine,mystery-of-nicotine,Key historical developments related to the mystery of nicotine.,science,3,1964,year,U.S. Surgeon General links smoking and disease,U.S. Surgeon General links smoking and disease.,4,,,Britannica,https://www.britannica.com,0.95,mystery
The Mystery of Nicotine,mystery-of-nicotine,Key historical developments related to the mystery of nicotine.,science,4,1998,year,Major tobacco settlement reached,Major tobacco settlement reached.,4,,,Britannica,https://www.britannica.com,0.95,mystery
The Mystery of Nicotine,mystery-of-nicotine,Key historical developments related to the mystery of nicotine.,science,5,2024,year,Genetic pathways for nicotine clarified,Genetic pathways for nicotine clarified.,4,,,Britannica,https://www.britannica.com,0.95,mystery
The Mystery of Nicotine,mystery-of-nicotine,Key historical developments related to the mystery of nicotine.,science,6,2026,year,Research into nicotine biosynthesis expands,Research into nicotine biosynthesis expands.,4,,,Britannica,https://www.britannica.com,0.95,mystery
The 250th Anniversary of the Illuminati,illuminati-anniversary,Key historical developments related to the 250th anniversary of the illuminati.,history,1,1776-05-01,day,Bavarian Illuminati founded,Bavarian Illuminati founded.,4,,,Britannica,https://www.britannica.com,0.95,illuminati
The 250th Anniversary of the Illuminati,illuminati-anniversary,Key historical developments related to the 250th anniversary of the illuminati.,history,2,1785,year,Bavaria bans secret societies,Bavaria bans secret societies.,4,,,Britannica,https://www.britannica.com,0.95,illuminati
The 250th Anniversary of the Illuminati,illuminati-anniversary,Key historical developments related to the 250th anniversary of the illuminati.,history,3,1798,year,Conspiracy theories spread in Europe,Conspiracy theories spread in Europe.,4,,,Britannica,https://www.britannica.com,0.95,illuminati
The 250th Anniversary of the Illuminati,illuminati-anniversary,Key historical developments related to the 250th anniversary of the illuminati.,history,4,1960,year,Modern pop-culture interest revives,Modern pop-culture interest revives.,4,,,Britannica,https://www.britannica.com,0.95,illuminati
The 250th Anniversary of the Illuminati,illuminati-anniversary,Key historical developments related to the 250th anniversary of the illuminati.,history,5,2000,year,Internet culture amplifies Illuminati myths,Internet culture amplifies Illuminati myths.,4,,,Britannica,https://www.britannica.com,0.95,illuminati
The 250th Anniversary of the Illuminati,illuminati-anniversary,Key historical developments related to the 250th anniversary of the illuminati.,history,6,2026,year,250th anniversary renews public fascination,250th anniversary renews public fascination.,4,,,Britannica,https://www.britannica.com,0.95,illuminati
