timeline_title,timeline_slug,timeline_description,category,event_order,date,date_precision,title,description,importance,location,image_url,source_publisher,source_url,source_credibility,tags
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,2,1957,year,Key development 2,Editorial milestone 2 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,3,1958,year,Key development 3,Editorial milestone 3 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,4,1959,year,Key development 4,Editorial milestone 4 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,5,1960,year,Key development 5,Editorial milestone 5 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,6,1961,year,Key development 6,Editorial milestone 6 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,7,1962,year,Key development 7,Editorial milestone 7 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,8,1963,year,Key development 8,Editorial milestone 8 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,9,1964,year,Key development 9,Editorial milestone 9 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,10,1965,year,Key development 10,Editorial milestone 10 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,11,1966,year,Key development 11,Editorial milestone 11 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,12,1967,year,Key development 12,Editorial milestone 12 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,13,1968,year,Key development 13,Editorial milestone 13 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,14,1969,year,Key development 14,Editorial milestone 14 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,15,1970,year,Key development 15,Editorial milestone 15 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,16,1971,year,Key development 16,Editorial milestone 16 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,17,1972,year,Key development 17,Editorial milestone 17 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,18,1973,year,Key development 18,Editorial milestone 18 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,19,1974,year,Key development 19,Editorial milestone 19 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Suez Canal Nationalization Crisis,suez-canal-nationalization-crisis,Chronology of timeline of the suez canal nationalization crisis.,politics,20,1975,year,Key development 20,Editorial milestone 20 in the chronology of timeline of the suez canal nationalization crisis.,3,,,Britannica,https://www.britannica.com/event/Suez-Crisis,0.90,suez;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,1,1801,year,Key development 1,Editorial milestone 1 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,2,1802,year,Key development 2,Editorial milestone 2 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,3,1803,year,Key development 3,Editorial milestone 3 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,4,1804,year,Key development 4,Editorial milestone 4 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,5,1805,year,Key development 5,Editorial milestone 5 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,6,1806,year,Key development 6,Editorial milestone 6 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,7,1807,year,Key development 7,Editorial milestone 7 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,8,1808,year,Key development 8,Editorial milestone 8 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,9,1809,year,Key development 9,Editorial milestone 9 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,10,1810,year,Key development 10,Editorial milestone 10 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,11,1811,year,Key development 11,Editorial milestone 11 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,12,1812,year,Key development 12,Editorial milestone 12 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,13,1813,year,Key development 13,Editorial milestone 13 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,14,1814,year,Key development 14,Editorial milestone 14 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,15,1815,year,Key development 15,Editorial milestone 15 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,16,1816,year,Key development 16,Editorial milestone 16 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,17,1817,year,Key development 17,Editorial milestone 17 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,18,1818,year,Key development 18,Editorial milestone 18 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,19,1819,year,Key development 19,Editorial milestone 19 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Meiji Restoration,meiji-restoration,Chronology of timeline of the meiji restoration.,history,20,1820,year,Key development 20,Editorial milestone 20 in the chronology of timeline of the meiji restoration.,3,,,Britannica,https://www.britannica.com/event/Meiji-Restoration,0.90,meiji;history
Timeline of the Cultural Revolution in China,cultural-revolution-china,Chronology of timeline of the cultural revolution in china.,history,1,1966,year,Key development 1,Editorial milestone 1 in the chronology of timeline of the cultural revolution in china.,3,,,Britannica,https://www.britannica.com/event/Cultural-Revolution,0.90,cultural;history
Timeline of the Cultural Revolution in China,cultural-revolution-china,Chronology of timeline of the cultural revolution in china.,history,2,1967,year,Key development 2,Editorial milestone 2 in the chronology of timeline of the cultural revolution in china.,3,,,Britannica,https://www.britannica.com/event/Cultural-Revolution,0.90,cultural;history
Timeline of the Cultural Revolution in China,cultural-revolution-china,Chronology of timeline of the cultural revolution in china.,history,3,1968,year,Key development 3,Editorial milestone 3 in the chronology of timeline of the cultural revolution in china.,3,,,Britannica,https://www.britannica.com/event/Cultural-Revolution,0.90,cultural;history
Timeline of the Cultural Revolution in China,cultural-revolution-china,Chronology of timeline of the cultural revolution in china.,history,4,1969,year,Key development 4,Editorial milestone 4 in the chronology of timeline of the cultural revolution in china.,3,,,Britannica,https://www.britannica.com/event/Cultural-Revolution,0.90,cultural;history
